OBJECTID,LOC_ID,LOCATION,NODELAYER,CNN,TIME,YR2006_PM,YR2007_PM,YR2008_PM,YR2009_PM,YR2010_PM,YR2011_PM,YR2013_PM,YR2014_PM,YR2015_PM,YR2011PADJ,GLOBALID,YR2016_PM,YR2017_PM,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts
645,89,Geneva Ave & Ocean Ave,,37.72296,"122° 27' 7.200"" W",-1,-1,-1,-1,-1,-1,64,64,85,0,,-1,-1,POINT (-122.452 37.72296),03/06/2020 01:20:17 PM,,Oceanview/Merced/Ingleside,11,24,95,95,10,8
677,118,"8th St & Division St
8th St & Division St
8th St &  Division St",,37.77007228,"122° 24' 13.689"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,POINT (-122.40380257 37.770072277),03/06/2020 01:03:29 PM,,Mission Bay,6,4,33,33,1,9
629,73,9th Ave & Irving St,,37.76404,"122° 27' 57.600"" W",-1,-1,-1,-1,-1,-1,145,145,177,-1,,-1,-1,POINT (-122.466 37.76404),03/06/2020 01:12:22 PM,,Inner Sunset,7,14,109,109,10,11
619,63,48th Ave & Point Lobos Ave,,37.77986,"122° 30' 32.400"" W",-1,-1,-1,-1,-1,-1,44,44,20,-1,,-1,-1,POINT (-122.509 37.77986),03/06/2020 01:12:12 PM,,Outer Richmond,1,29,6,6,8,4
442,14,16th St & 7th St,,37.76654,"122° 23' 42.000"" W",67,122,144,202,133,222,243,243,218,191,,243,278,POINT (-122.395 37.76654),03/06/2020 01:19:09 PM,,Mission Bay,10,4,34,34,1,9
596,40,Folsom St & 2nd St,,37.78556,"122° 23' 49.200"" W",-1,-1,-1,-1,-1,241,266,266,982,0,,-1,-1,POINT (-122.397 37.78556),03/06/2020 01:19:03 PM,,Financial District/South Beach,6,8,32,32,1,10
661,104,Leavenworth St & Turk St,,37.7828,"122° 24' 50.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.414 37.7828),03/06/2020 01:12:57 PM,,Tenderloin,5,36,20,20,5,10
574,8,Broadway & The Embarcadero,,37.79918,"122° 23' 52.800"" W",393,369,594,554,498,745,663,663,679,0,,991,782,POINT (-122.398 37.79918),03/06/2020 01:18:00 PM,,Financial District/South Beach,3,8,77,77,6,3
613,57,Howard St & 8th St,,37.77623,"122° 24' 43.200"" W",-1,-1,-1,-1,-1,-1,591,591,493,-1,,-1,-1,POINT (-122.412 37.77623),03/06/2020 01:12:06 PM,,South of Market,6,34,32,32,1,10
620,64,Polk St & Green St,,37.79783,"122° 25' 19.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.422 37.79783),03/06/2020 01:12:13 PM,,Russian Hill,3,32,105,105,4,3
446,18,Harrison St & Cesar Chavez,,37.7483,"122° 24' 43.200"" W",39,48,54,57,35,74,173,173,175,64,,183,141,POINT (-122.412 37.7483),03/06/2020 01:19:37 PM,,Bernal Heights,9,2,53,53,3,2
671,114,Page St & Webster St,,37.77325,"122° 25' 44.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.429 37.77325),03/06/2020 01:13:08 PM,,Hayes Valley,5,9,26,26,4,11
573,7,The Embarcadero & Market St,,37.79532,"122° 23' 38.400"" W",84,55,350,171,280,-1,717,717,695,-1,,-1,-1,POINT (-122.394 37.79532),03/06/2020 01:11:25 PM,,Financial District/South Beach,3,8,108,108,6,3
653,96,Folsom St & 11th St,,37.771879999999996,"122° 24' 50.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.414 37.77188),03/06/2020 01:12:49 PM,,South of Market,6,34,32,32,1,10
587,31,Folsom St & 14th St,,37.76854,"122° 24' 57.600"" W",1663,200,214,258,252,346,438,438,460,0,,-1,-1,POINT (-122.416 37.76854),03/06/2020 01:18:55 PM,,Mission,9,20,53,53,3,2
595,39,Market St & Valencia St,,37.772549999999995,"122° 25' 22.800"" W",-1,-1,-1,-1,-1,1274,1281,1281,1259,0,,-1,-1,POINT (-122.423 37.77255),03/06/2020 01:16:55 PM,,Hayes Valley,6,9,26,26,4,11
575,9,Broadway & Columbus Ave,,37.797889999999995,"122° 24' 25.200"" W",95,80,94,63,96,165,107,107,188,138,,167,78,POINT (-122.407 37.79789),03/06/2020 01:19:14 PM,,Chinatown,3,6,106,106,6,3
